Accession	Length	Pred	Proportion	PhaMerScore	PhaMerConfidence	Lineage	PhaGCNScore	Genus	GenusCluster	TYPE	PhaTYPScore	Host	CHERRYScore	Method	Host_NCBI_lineage	Host_GTDB_lineage
NODE_42_length_570_cov_71.009709	570	virus	1	0.94	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	Not found
NODE_43_length_525_cov_97.140426	525	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_43_length_544_cov_97.257669	544	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_44_length_544_cov_45.709611	544	virus	0.5	0.91	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.53	-	0	-	-	-
NODE_45_length_541_cov_36.195473	541	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_46_length_534_cov_17.246347	534	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_47_length_533_cov_282.387029	533	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_48_length_530_cov_11.555789	530	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;0.51"	-	singleton	temperate	1	-	0	-	-	-
NODE_48_length_583_cov_29.528409	583	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_49_length_529_cov_42.974684	529	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_49_length_562_cov_313.639053	562	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Bastillevirinae;genus:Siophivirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Siophivirus	known_genus	temperate	1	species:Bacillus subtilis	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis"	Not found
NODE_4_length_1147_cov_597.860806	1147	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_1164_cov_125.429216	1164	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_1218_cov_188.390370	1218	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_1274_cov_211.488925	1274	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.81;0.81"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_1333_cov_185.441315	1333	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_1500_cov_54.485121	1500	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_1629_cov_49.941550	1629	non-virus	0.2	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_1781_cov_1584.001738	1781	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_2136_cov_279.938491	2136	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_2599_cov_332.037343	2599	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_2816_cov_135.099602	2816	virus	0.6	0.99	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_509_cov_9.656388	509	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_535_cov_51.027083	535	virus	1	0.57	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_4_length_679_cov_21.892628	679	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_685_cov_5.874603	685	virus	0.33	0.33	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	-	0	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_4_length_736_cov_12.381791	736	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_751_cov_8.544540	751	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_767_cov_66.790730	767	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_768_cov_21.172511	768	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_830_cov_58.548387	830	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Autographiviridae;subfamily:Studiervirinae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	virulent	1	-	0	-	-	-
NODE_4_length_849_cov_19.396725	849	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_923_cov_31.519585	923	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_4_length_931_cov_26.511416	931	virus	1	0.94	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Phikzvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Phikzvirus	known_genus	virulent	0.66	species:Pseudomonas aeruginosa	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa"	Not found
NODE_50_length_527_cov_102.184322	527	non-virus	1	0.06	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_50_length_533_cov_2915.709205	533	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_50_length_563_cov_142.545276	563	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_51_length_519_cov_235.877155	519	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_51_length_547_cov_35.943089	547	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_52_length_514_cov_231.921569	514	virus	0.5	0.98	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.92	-	0	-	-	-
NODE_52_length_540_cov_24.977320	540	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_53_length_511_cov_39.434211	511	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	group_0	temperate	0.93	-	0	-	-	-
NODE_54_length_508_cov_15.682119	508	non-virus	1	0.12	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_55_length_507_cov_92.703540	507	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_56_length_501_cov_50.029148	501	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_57_length_501_cov_7.612108	501	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_58_length_500_cov_9.802247	500	virus	1	0.92	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Skunavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Skunavirus	known_genus	virulent	1	species:Streptococcus thermophilus	0.93	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus"
NODE_5_length_1063_cov_34.518849	1063	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_1086_cov_101.068865	1086	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1156_cov_257.257947	1156	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.69;0.69"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1213_cov_50.145078	1213	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1220_cov_89.175966	1220	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_1636_cov_452.619228	1636	virus	0.67	0.95	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1710_cov_102.100302	1710	virus	0.4	0.95	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1759_cov_236.057512	1759	virus	0.33	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1785_cov_309.158382	1785	virus	0.67	0.95	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1799_cov_108.669151	1799	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_1879_cov_15.524671	1879	virus	0.25	0.99	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_532_cov_52.106918	532	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_549_cov_21.635628	549	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_550_cov_56.509091	550	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_564_cov_8.856582	564	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_639_cov_21.674658	639	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Paclarkvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;0.65;0.65"	Paclarkvirus	known_genus	temperate	1	species:Streptococcus gordonii	0.97	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii"
NODE_5_length_651_cov_1000.607383	651	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_653_cov_42.357860	653	virus	0.5	0.91	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	0.91	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"
NODE_5_length_658_cov_6.852405	658	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_694_cov_51.283255	694	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_708_cov_27.526799	708	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_718_cov_24.432881	718	virus	0.33	0.33	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Shotokuvirae;phylum:Cossaviricota;class:Papovaviricetes;order:Zurhausenvirales;family:Papillomaviridae;subfamily:Firstpapillomavirinae;genus:Gammapapillomavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Gammapapillomavirus	known_genus	-	0	genus:Homo	1	AAI-based	-	-
NODE_5_length_785_cov_22.923288	785	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	-	0	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_5_length_795_cov_43.500000	795	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Autographiviridae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	virulent	1	-	0	-	-	-
NODE_5_length_819_cov_5.192408	819	non-virus	0.67	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_5_length_842_cov_6.520966	842	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
